Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26759355,Kubernetes: Up & Running,Kelsey Hightower,"Hightower, Kelsey","Brendan Burns, Joe Beda","=""1491935677""","=""9781491935675""",0,4.07,O'Reilly,Paperback,202,2016,2016,,2025/09/21,to-read,to-read (#32),to-read,,,,0,0
39728838,The Art of Negotiation: How To Get What You Want (Every Time),Tim Castle,"Castle, Tim",,"=""""","=""""",0,3.74,Known Publishing,Kindle Edition,294,2018,2018,,2025/09/21,to-read,to-read (#31),to-read,,,,0,0
23232941,Soft Skills: The Software Developer's Life Manual,John Z. Sonmez,"Sonmez, John Z.",,"=""""","=""""",0,3.84,Manning Publications,Paperback,470,2014,,,2025/09/21,to-read,to-read (#30),to-read,,,,0,0
42832585,Graph Algorithms: Practical Examples in Apache Spark & Neo4j,Mark Needham,"Needham, Mark",Amy E. Hodler,"=""""","=""9781492047681""",0,4.09,O'Reilly Media,Paperback,247,2019,,,2025/09/21,to-read,to-read (#29),to-read,,,,0,0
2058330,Inside the Java Virtual Machine (Java Masters Series),Bill Venners,"Venners, Bill",,"=""0079132480""","=""9780079132482""",0,4.45,Computing McGraw-Hill,Paperback,579,1998,1997,,2025/09/21,to-read,to-read (#28),to-read,,,,0,0
1864850,Learning SQL,Alan Beaulieu,"Beaulieu, Alan",,"=""0596007272""","=""9780596007270""",0,3.97,O'Reilly Media,Paperback,312,2005,2005,,2025/09/21,to-read,to-read (#27),to-read,,,,0,0
16033444,Redis in Action,Josiah L. Carlson,"Carlson, Josiah L.",,"=""1617290858""","=""9781617290855""",0,3.65,Manning,Paperback,320,2013,2013,,2025/09/21,to-read,to-read (#26),to-read,,,,0,0
6965200,The Little Book of Semaphores: The Ins and Outs of Concurrency Control and Common Mistakes,Allen B. Downey,"Downey, Allen B.",,"=""1441418687""","=""9781441418685""",0,4.39,Createspace Independent Pub,Paperback,279,2009,2009,,2025/09/21,to-read,to-read (#25),to-read,,,,0,0
57573212,Learning Domain-Driven Design: Aligning Software Architecture and Business Strategy,Vladik Khononov,"Khononov, Vladik",,"=""1098100131""","=""9781098100131""",0,4.44,O'Reilly Media,Paperback,340,2021,,,2025/09/21,to-read,to-read (#24),to-read,,,,0,0
58153482,Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,Neal Ford,"Ford, Neal","Mark Richards, Pramod J. Sadalage, Zhamak Dehghani","=""1492086894""","=""9781492086895""",0,4.26,O'Reilly Media,Paperback,459,2021,2021,,2025/09/21,to-read,to-read (#23),to-read,,,,0,0
